Name	Mode	Frequency MHz	Comment
CB 3	am	26.985	Citizens Band
CB 4	am	27.005	Citizens Band
CB 5	am	27.015	Citizens Band
CB 6	am	27.025	Citizens Band
CB 7	am	27.035	Citizens Band
CB 8	am	27.055	Citizens Band
CB 9	am	27.065	Citizens Band
CB 10	am	27.075	Citizens Band
CB 11	am	27.085	Citizens Band
CB 12	am	27.105	Citizens Band
CB 13	am	27.115	Citizens Band
CB 14	am	27.125	Citizens Band
CB 15	am	27.135	Citizens Band
CB 16	am	27.155	Citizens Band
CB 17	am	27.165	Citizens Band
CB 18	am	27.175	Citizens Band
CB 19	am	27.185	Citizens Band
CB 20	am	27.2050	Citizens Band
CB 21	am	27.2150	Citizens Band
CB 22	am	27.2250	Citizens Band
CB 23	am	27.2550	Citizens Band
CB 24	am	27.2350	Citizens Band
CB 25	am	27.2450	Citizens Band
CB 26	am	27.2650	Citizens Band
CB 27	am	27.2750	Citizens Band
CB 28	am	27.2850	Citizens Band
CB 29	am	27.2950	Citizens Band
CB 30	am	27.3050	Citizens Band
CB 31	am	27.3150	Citizens Band
CB 32	am	27.3250	Citizens Band
CB 33	am	27.3350	Citizens Band
CB 34	am	27.3450	Citizens Band
CB 35	am	27.3550	Citizens Band
CB 36	am	27.3650	Citizens Band
CB 37	am	27.3750	Citizens Band
CB 38	am	27.3850	Citizens Band
CB 39	am	27.3950	Citizens Band
CB 40	am	27.4050	Citizens Band
Computer clock	wfm	433.9200	LaCrosse clock temperature sensor transmitter
70 cm ham band	fm	440.00000	
Emergency Beacon	am	121.5000	EPIRB output frequency
Emergency Beacon	am	406.0000	EPIRB output frequency
